iter	RMSE
242	15.3027771
243	15.24557503
244	15.19313754
245	15.18450814
246	15.17317351
247	15.15876072
248	15.14980196
249	15.12201079
250	15.11358883
251	15.09722874
252	15.08707947
253	15.06609868
254	15.03281069
255	14.98598553
256	14.96536272
257	14.91743356
258	14.90654239
259	14.90126808
260	14.87850252
261	14.84473663
262	14.82253622
263	14.77540663
264	14.75609002
265	14.74688188
266	14.73355815
267	14.71301413
268	14.68184761
269	14.65243097
270	14.63439644
271	14.61051949
272	14.57302062
273	14.5593477
274	14.51137885
275	14.4744047
276	14.42871148
277	14.3801273
278	14.37523723
279	14.32172531
280	14.31467511
281	14.29024945
282	14.23856176
283	14.22760487
284	14.2200201
285	14.21426636
286	14.17847917
287	14.12045707
288	14.09422831
289	14.06418525
290	14.02687455
291	13.99015075
292	13.94987419
293	13.89988466
294	13.84434916
295	13.8036238
296	13.76677898
297	13.75579926
298	13.74298888
299	13.73285186
300	13.68995825
301	13.64605465
302	13.63579897
303	13.58920738
304	13.58433365
305	13.56386609
306	13.55262288
307	13.51882448
308	13.51479485
309	13.50075011
310	13.46384089
311	13.4473728
312	13.42356987
313	13.40904373
314	13.37553703
315	13.36932396
316	13.36438618
317	13.33081735
318	13.29917622
319	13.24714668
320	13.19024798
321	13.1425895
322	13.13621587
323	13.13073583
324	13.09286211
325	13.0645165
326	13.02949781
327	12.97688791
328	12.95642788
329	12.93677714
330	12.91720268
331	12.89092659
332	12.84059085
333	12.81958803
334	12.79683223
335	12.76037358
336	12.75363775
337	12.73752116
338	12.69648598
339	12.65761145
340	12.62389232
341	12.59687202
342	12.57623148
343	12.56939333
344	12.55475267
345	12.51707099
346	12.47123345
347	12.43226053
348	12.41058406
349	12.37729637
350	12.34721322
351	12.31331221
352	12.29403838
353	12.27807827
354	12.2586976
355	12.20953181
356	12.15859194
357	12.12427814
358	12.11708192
359	12.08085181
360	12.04172295
361	12.01010187
362	11.97652388
363	11.94558106
364	11.9160216
365	11.9079782
366	11.87253612
367	11.85359112
368	11.81390847
369	11.809176
370	11.77580842
371	11.7570652
372	11.74563709
373	11.73109151
374	11.69821849
375	11.66657968
376	11.64403293
377	11.63761094
378	11.63319721
379	11.60255723
380	11.59694013
381	11.57450114
382	11.53885223
383	11.51469979
384	11.48102149
385	11.46920637
386	11.45914727
387	11.4553057
388	11.44379615
389	11.40285901
390	11.37860802
391	11.34618112
392	11.31001476
393	11.28585554
394	11.26944466
395	11.22873874
396	11.19416083
397	11.16263322
398	11.13921942
399	11.12899523
400	11.10515978
401	11.08157158
402	11.07868407
403	11.04335549
404	11.04052915
405	11.01902767
406	11.01425113
407	11.00961511
408	10.9831085
409	10.96978394
410	10.94171298
411	10.91495161
412	10.88582594
413	10.86875073
414	10.84152631
415	10.81592911
416	10.80099333
417	10.78781255
418	10.75867098
419	10.73747222
420	10.70644482
421	10.67402383
422	10.65168374
423	10.62148182
424	10.60290023
425	10.59378013
426	10.57898263
427	10.56372872
428	10.53154707
429	10.52009136
430	10.50443452
431	10.47537138
432	10.47381963
433	10.44159169
434	10.42797299
435	10.4125056
436	10.40434335
437	10.39512532
438	10.38071616
439	10.36477723
440	10.35781597
441	10.35021052
442	10.3367751
443	10.33555715
444	10.32254908
445	10.32027546
446	10.2930407
447	10.26656847
448	10.26540178
449	10.25401086
450	10.22198889
451	10.22010239
452	10.21767807
453	10.20348296
454	10.18988098
455	10.16753741
456	10.14597219
457	10.11947056
458	10.10977777
459	10.07641949
460	10.05196695
461	10.03346196
462	10.00217858
463	9.943207522
464	9.941027697
465	9.92784084
466	9.878453053
467	9.853070141
468	9.827369136
469	9.821686464
470	9.782288568
471	9.746562202
472	9.745504729
473	9.71880078
474	9.699848066
475	9.672909522
476	9.653135035
477	9.637107072
478	9.615920462
479	9.602761396
480	9.601038418
481	9.588599832
482	9.564748382
483	9.562175543
484	9.539152899
485	9.519468314
486	9.517310787
487	9.511966417
488	9.49053847
489	9.48293834
490	9.459363275
491	9.457423242
492	9.456080311
493	9.436553104
494	9.412157328
495	9.382478479
496	9.381070992
497	9.361742424
498	9.350471683
499	9.334859255
500	9.333701908
501	9.315049636
502	9.287262029
503	9.285968949
504	9.267091756
505	9.25256058
506	9.23735201
507	9.218516621
508	9.204138258
509	9.193507631
510	9.172391829
511	9.15185774
512	9.149028831
513	9.147045013
514	9.125816066
515	9.102365425
516	9.076121395
517	9.046468356
518	9.045189144
519	9.02178082
520	9.020533747
521	8.999217231
522	8.959309666
523	8.957915782
524	8.956821103
525	8.911643219
526	8.908069738
527	8.856277033
528	8.852939042
529	8.840998267
530	8.833323911
531	8.815138746
532	8.794161567
533	8.771611484
534	8.77049996
535	8.752303663
536	8.745941077
537	8.727055209
538	8.724852661
539	8.710863818
540	8.687711205
541	8.668045529
542	8.650465813
543	8.619594348
544	8.598680159
545	8.592442685
546	8.571548789
547	8.544312018
548	8.543286789
549	8.518223301
550	8.502014592
551	8.472323646
552	8.471514527
553	8.455272569
554	8.434802245
555	8.433877978
556	8.428046936
557	8.427291885
558	8.426617391
559	8.424537969
560	8.402355675
561	8.367418764
562	8.361685248
563	8.351803094
564	8.337421865
565	8.309535963
566	8.301186979
567	8.286252643
568	8.285401361
569	8.273463131
570	8.272833332
571	8.266582994
572	8.249435468
573	8.242128217
574	8.241460029
575	8.238627505
576	8.226630457
577	8.205606717
578	8.188640786
579	8.16632913
580	8.147527773
581	8.125163762
582	8.101775033
583	8.100516549
584	8.093383527
585	8.087612604
586	8.077567813
587	8.067719295
588	8.067053135
589	8.047161585
590	8.033452418
591	8.02299633
592	8.006502408
593	8.005855809
594	7.982254285
595	7.962793258
596	7.936168155
597	7.921945426
598	7.908050303
599	7.900262734
600	7.865935794
601	7.865282885
602	7.849948836
603	7.832924028
604	7.816067132
605	7.803777859
606	7.803140942
607	7.801754274
608	7.786223715
609	7.785487484
610	7.762975346
611	7.76223252
612	7.728594273
613	7.712905605
614	7.712205526
615	7.71152094
616	7.702888054
617	7.681194239
618	7.672008609
619	7.663955878
620	7.662157505
621	7.645564449
622	7.626449131
623	7.61430091
624	7.600168432
625	7.59958889
626	7.590631256
627	7.570410887
628	7.566768204
629	7.545307585
630	7.544918599
631	7.539203717
632	7.526362064
633	7.52228027
634	7.506398989
635	7.493778485
636	7.468832099
637	7.458275804
638	7.425370638
639	7.423906111
640	7.418165195
641	7.400778875
642	7.400188181
643	7.371302355
644	7.358840584
645	7.334837748
646	7.322946751
647	7.317425427
648	7.304677788
649	7.284863912
650	7.284327158
651	7.270147694
652	7.257682671
653	7.257157849
654	7.249077408
655	7.237612162
656	7.230104318
657	7.219227248
658	7.19769723
659	7.180210031
660	7.161877027
661	7.159222567
662	7.144386418
663	7.130012086
664	7.097266113
665	7.090838201
666	7.08235555
667	7.081695324
668	7.054364912
669	7.049694777
670	7.033803834
671	7.028122507
672	7.027405444
673	7.022619653
674	7.012367681
675	7.007730312
676	7.005068293
677	6.996618503
678	6.985382591
679	6.978924719
680	6.974258034
681	6.973736982
682	6.952454112
683	6.934767527
684	6.926895408
685	6.916857701
686	6.913505889
687	6.898172807
688	6.884112847
689	6.88347444
690	6.882766852
691	6.871573072
692	6.848925555
693	6.848460545
694	6.841013775
695	6.83509281
696	6.833147206
697	6.8174973
698	6.788695323
699	6.777328729
700	6.76398043
701	6.747458428
702	6.734600731
703	6.719747478
704	6.711620859
705	6.706716296
706	6.697248264
707	6.688146585
708	6.67074862
709	6.651369894
710	6.635944456
711	6.629604083
712	6.612583483
713	6.597045109
714	6.574515593
715	6.56245287
716	6.553985772
717	6.548057133
718	6.543938718
719	6.530360693
720	6.515009771
721	6.503270475
722	6.487621316
723	6.462014782
724	6.458046097
725	6.446242481
726	6.431691106
727	6.431266055
728	6.426450923
729	6.415224555
730	6.414746898
731	6.414137649
732	6.402240515
733	6.390196596
734	6.389851908
735	6.374628159
736	6.374131633
737	6.363555724
738	6.334089702
739	6.333681093
740	6.327841242
741	6.313159396
742	6.312648919
743	6.303527454
744	6.299521533
745	6.299101283
746	6.2870263
747	6.265476329
748	6.247969255
749	6.243841005
750	6.243029102
751	6.226412181
752	6.204178997
753	6.199307463
754	6.186254253
755	6.170209172
756	6.167506385
757	6.147318959
758	6.137742558
759	6.1223889
760	6.11621334
761	6.115779087
762	6.106746163
763	6.106291028
764	6.068931045
765	6.067280614
766	6.060384167
767	6.054597966
768	6.050630125
769	6.034650587
770	6.033728533
771	6.021872348
772	6.021410653
773	6.02096631
774	6.010221482
775	6.006469411
776	5.991044413
777	5.978329654
778	5.972178399
779	5.966729688
780	5.958179231
781	5.948514326
782	5.93218989
783	5.931804262
784	5.924249465
785	5.92005066
786	5.910932516
787	5.896799537
788	5.881883585
789	5.868325808
790	5.858598335
791	5.844372573
792	5.834631587
793	5.829178031
794	5.818281021
795	5.804222956
796	5.796960027
797	5.783372214
798	5.778104611
799	5.770519306
800	5.761883329
801	5.761199791
802	5.748319852
803	5.740441071
804	5.73329027
805	5.732881802
806	5.725388804
807	5.71051629
808	5.703818103
809	5.693610151
810	5.693255483
811	5.680324141
812	5.673208095
813	5.672900904
814	5.664454756
815	5.652577301
816	5.652142387
817	5.64200328
818	5.641693811
819	5.630720661
820	5.627354646
821	5.607969777
822	5.60257184
823	5.588218754
824	5.575752677
825	5.575537895
826	5.561825063
827	5.555513747
828	5.544796864
829	5.534232604
830	5.52545905
831	5.518879278
832	5.510436447
833	5.499899517
834	5.494653267
835	5.484978085
836	5.478771961
837	5.471100917
838	5.466834836
839	5.465982255
840	5.458856627
841	5.446650111
842	5.435051694
843	5.422496608
844	5.417005553
845	5.407610253
846	5.403937101
847	5.394260868
848	5.383066346
849	5.377154506
850	5.366331022
851	5.365575904
852	5.365175996
853	5.357011799
854	5.341135176
855	5.332670826
856	5.318102814
857	5.311128866
858	5.305448924
859	5.297666517
860	5.291879616
861	5.273250773
862	5.267524792
863	5.263014072
864	5.254228035
865	5.247014075
866	5.237421229
867	5.231586866
868	5.226057191
869	5.214938578
870	5.211391064
871	5.195386369
872	5.188811396
873	5.184388972
874	5.183661519
875	5.176931091
876	5.166182778
877	5.164189936
878	5.152920723
879	5.144496592
880	5.135687088
881	5.123808563
882	5.120443764
883	5.11202077
884	5.104535826
885	5.092072829
886	5.077703393
887	5.071071765
888	5.070667849
889	5.05452881
890	5.041584268
891	5.031679845
892	5.026056325
893	5.016380065
894	5.010864935
895	4.991879333
896	4.981996326
897	4.973861907
898	4.961849229
899	4.961417509
900	4.954088682
901	4.947273452
902	4.933892507
903	4.927650295
904	4.927334887
905	4.917711436
906	4.916753355
907	4.905957638
908	4.905534477
909	4.895150397
910	4.894893645
911	4.887152873
912	4.878359541
913	4.866397624
914	4.854889076
915	4.848234683
916	4.835164204
917	4.834674479
918	4.824728393
919	4.816468586
920	4.813847793
921	4.813348983
922	4.81294449
923	4.806435163
924	4.801761764
925	4.794831495
926	4.791659842
927	4.783054697
928	4.782786796
929	4.777965249
930	4.770101101
931	4.761934598
932	4.75253468
933	4.752190938
934	4.743146378
935	4.736834481
936	4.724096394
937	4.716804024
938	4.71656897
939	4.708499473
940	4.70818623
941	4.700164366
942	4.694404481
943	4.687783439
944	4.679859191
945	4.67390675
946	4.66702131
947	4.664278815
948	4.655918894
949	4.649389209
950	4.641049574
951	4.640679039
952	4.634163843
953	4.627999641
954	4.621691733
955	4.615043913
956	4.609465278
957	4.602215561
958	4.596998271
959	4.586175604
960	4.584139785
961	4.580882291
962	4.570786428
963	4.565334065
964	4.554602517
965	4.545235091
966	4.540002627
967	4.53411708
968	4.527020061
969	4.52183198
970	4.51130529
971	4.504713791
972	4.49668011
973	4.492140832
974	4.484614221
975	4.483269873
976	4.473653471
977	4.472937825
978	4.467558758
979	4.46551357
980	4.459886524
981	4.459575124
982	4.452343179
983	4.44506919
984	4.433308272
985	4.433047416
986	4.422503048
987	4.422232993
988	4.421976264
989	4.415607071
990	4.409126786
991	4.401414316
992	4.396138164
993	4.386679174
994	4.378267792
995	4.372842591
996	4.368869892
997	4.368558481
998	4.362635505
999	4.35867865
